Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-219A15.1,1.911264811,0.190806233,1291
brain,Alzheimer disease,24815,0.02%,Alzheimer disease,LINC01609,2.638202846,0.46572553,2384
brain,Alzheimer disease,24815,0.00%,Alzheimer disease,PHYHIP,2.068698355,0.250345722,520
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-745L13.2,1.992345889,0.22147013,726
brain,normal,196420,0.09%,normal,SLC26A3,2.191499294,0.296787573,9656
brain,normal,196420,0.18%,normal,RASGEF1B,2.26905439,0.326117985,19709
brain,normal,196420,0.01%,normal,RP11-701H24.9,2.134318007,0.275162292,1501
brain,normal,196420,0.01%,normal,LINGO3,1.82927609,0.159799076,1231
brain,normal,196420,0.11%,normal,PDE4DIP,1.925978453,0.196370757,12291
brain,normal,196420,0.01%,normal,AC159540.1,1.781701668,0.141806997,1627
brain,normal,196420,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,196420,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,196420,0.00%,normal,LINC01609,2.066058263,0.249347271,422
brain,normal,196420,0.04%,normal,PHYHIP,1.950720496,0.205727902,4168
brain,normal,196420,0.02%,normal,RP11-745L13.2,1.815517612,0.154595784,1741
brain,normal,3491622,0.76%,normal,SLC26A3,1.936548371,0.200368174,84247
brain,normal,3491622,1.13%,normal,RASGEF1B,2.336499264,0.351624832,124677
brain,normal,3491622,0.69%,normal,RP11-701H24.9,2.007194024,0.227085517,76309
brain,normal,3491622,0.07%,normal,LINGO3,1.877029615,0.17785889,7405
brain,normal,3491622,2.13%,normal,PDE4DIP,1.84457606,0.165585342,235493
brain,normal,3491622,0.66%,normal,AC159540.1,1.812902927,0.153606941,72555
brain,normal,3491622,0.27%,normal,RP11-289H16.1,1.945565943,0.203778512,30209
brain,normal,3491622,0.13%,normal,RP11-219A15.1,1.833810404,0.1615139,13865
brain,normal,3491622,0.11%,normal,LINC01609,2.306282549,0.340197231,12349
brain,normal,3491622,1.04%,normal,PHYHIP,1.768340922,0.136754123,114694
brain,normal,3491622,0.15%,normal,RP11-745L13.2,1.902364185,0.187440122,16535
brain,Alzheimer disease,58948,0.34%,Alzheimer disease,SLC26A3,2.520946163,0.42138045,37552
brain,Alzheimer disease,58948,0.44%,Alzheimer disease,RASGEF1B,3.25727927,0.699852851,48906
brain,Alzheimer disease,58948,0.27%,Alzheimer disease,RP11-701H24.9,1.921497546,0.194676131,30281
brain,Alzheimer disease,58948,0.00%,Alzheimer disease,LINGO3,1.80997533,0.152499759,81
brain,Alzheimer disease,58948,0.38%,Alzheimer disease,PDE4DIP,2.055160586,0.245225899,41549
brain,Alzheimer disease,58948,0.24%,Alzheimer disease,AC159540.1,1.931096863,0.198306479,26702
brain,Alzheimer disease,58948,0.19%,Alzheimer disease,RP11-289H16.1,1.922220564,0.194949568,20675
brain,Alzheimer disease,58948,0.12%,Alzheimer disease,RP11-219A15.1,1.840142003,0.163908435,12881
brain,Alzheimer disease,58948,0.20%,Alzheimer disease,LINC01609,2.211904076,0.304504418,22393
brain,Alzheimer disease,58948,0.19%,Alzheimer disease,PHYHIP,1.987799905,0.219750893,20978
brain,Alzheimer disease,58948,0.11%,Alzheimer disease,RP11-745L13.2,1.819302708,0.156027262,12402
brain,normal,11420,0.01%,normal,SLC26A3,1.961158246,0.209675335,1054
brain,normal,11420,0.01%,normal,RASGEF1B,2.030910908,0.23605496,1643
brain,normal,11420,0.01%,normal,RP11-701H24.9,1.967690402,0.212145719,1426
brain,normal,11420,0.00%,normal,LINGO3,1.831585748,0.160672561,7
brain,normal,11420,0.00%,normal,PDE4DIP,1.890413339,0.182920455,280
brain,normal,11420,0.00%,normal,AC159540.1,1.869967143,0.175187947,48
brain,normal,11420,0.00%,normal,RP11-289H16.1,1.954804451,0.207272406,31
brain,normal,11420,0.00%,normal,RP11-219A15.1,1.839906016,0.163819187,31
brain,normal,11420,0.00%,normal,LINC01609,2.06564935,0.249192625,12
brain,normal,11420,0.01%,normal,PHYHIP,1.979996441,0.216799716,749
brain,normal,11420,0.00%,normal,RP11-745L13.2,1.864955771,0.173292706,58
brain,normal,291217,0.05%,normal,SLC26A3,1.974590633,0.214755304,5367
brain,normal,291217,0.40%,normal,RASGEF1B,2.244411981,0.31679852,43697
brain,normal,291217,,normal,RP11-701H24.9,,,
brain,normal,291217,0.27%,normal,LINGO3,1.959842942,0.209177903,30349
brain,normal,291217,0.19%,normal,PDE4DIP,2.087847355,0.257587645,20944
brain,normal,291217,0.11%,normal,AC159540.1,1.911155446,0.190764872,11779
brain,normal,291217,0.09%,normal,RP11-289H16.1,1.98613741,0.219122157,9473
brain,normal,291217,0.00%,normal,RP11-219A15.1,1.859358066,0.171175721,41
brain,normal,291217,0.02%,normal,LINC01609,1.933699095,0.199290612,2102
brain,normal,291217,0.01%,normal,PHYHIP,2.000055403,0.224385776,661
brain,normal,291217,0.02%,normal,RP11-745L13.2,1.916405845,0.192750511,2171
brain,normal,966,0.00%,normal,SLC26A3,2.314503438,0.343306273,111
brain,normal,966,0.00%,normal,RASGEF1B,2.330355225,0.34930123,175
brain,normal,966,0.00%,normal,RP11-701H24.9,2.382863156,0.369159103,197
brain,normal,966,0.00%,normal,LINGO3,2.039958954,0.239476823,3
brain,normal,966,0.00%,normal,PDE4DIP,1.981539408,0.217383248,12
brain,normal,966,0.00%,normal,AC159540.1,2.205137956,0.301945552,19
brain,normal,966,,normal,RP11-289H16.1,,,
brain,normal,966,0.00%,normal,RP11-219A15.1,2.004635811,0.226118032,8
brain,normal,966,0.00%,normal,LINC01609,2.438884497,0.390345706,1
brain,normal,966,0.00%,normal,PHYHIP,2.299474843,0.337622638,120
brain,normal,966,0.00%,normal,RP11-745L13.2,2.010079193,0.228176654,5
brain,normal,196492,0.09%,normal,SLC26A3,2.191499294,0.296787573,9656
brain,normal,196492,0.18%,normal,RASGEF1B,2.269074629,0.326125639,19710
brain,normal,196492,0.01%,normal,RP11-701H24.9,2.134318007,0.275162292,1501
brain,normal,196492,0.01%,normal,LINGO3,1.830065839,0.16009775,1232
brain,normal,196492,0.11%,normal,PDE4DIP,1.926088049,0.196412205,12293
brain,normal,196492,0.01%,normal,AC159540.1,1.781701668,0.141806997,1627
brain,normal,196492,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,196492,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,196492,0.00%,normal,LINC01609,2.066058263,0.249347271,422
brain,normal,196492,0.04%,normal,PHYHIP,1.951435624,0.205998355,4171
brain,normal,196492,0.02%,normal,RP11-745L13.2,1.815517612,0.154595784,1741
brain,Alzheimer disease,24815,0.04%,Alzheimer disease,SLC26A3,2.641845703,0.467103214,4960
brain,Alzheimer disease,24815,0.07%,Alzheimer disease,RASGEF1B,3.14707527,0.658175012,7761
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-701H24.9,1.878377437,0.17836862,1027
brain,Alzheimer disease,24815,0.00%,Alzheimer disease,LINGO3,1.831488141,0.160635647,59
brain,Alzheimer disease,24815,0.02%,Alzheimer disease,PDE4DIP,2.000284629,0.224472467,2623
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,AC159540.1,1.963839259,0.210689262,1049
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-289H16.1,2.227111093,0.31025553,1603
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-219A15.1,1.911264811,0.190806233,1291
brain,Alzheimer disease,24815,0.02%,Alzheimer disease,LINC01609,2.638202846,0.46572553,2384
brain,Alzheimer disease,24815,0.00%,Alzheimer disease,PHYHIP,2.068698355,0.250345722,520
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-745L13.2,1.992345889,0.22147013,726
brain,normal,197440,0.09%,normal,SLC26A3,2.19289704,0.297316184,9767
brain,normal,197440,0.18%,normal,RASGEF1B,2.269593918,0.326322028,19884
brain,normal,197440,0.02%,normal,RP11-701H24.9,2.163153946,0.2860677,1698
brain,normal,197440,0.01%,normal,LINGO3,1.829788282,0.159992781,1234
brain,normal,197440,0.11%,normal,PDE4DIP,1.926032713,0.196391277,12303
brain,normal,197440,0.01%,normal,AC159540.1,1.786589353,0.143655461,1646
brain,normal,197440,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,197440,0.00%,normal,RP11-219A15.1,1.888802483,0.182311248,529
brain,normal,197440,0.00%,normal,LINC01609,2.06693955,0.249680563,423
brain,normal,197440,0.04%,normal,PHYHIP,1.96048042,0.209418989,4288
brain,normal,197440,0.02%,normal,RP11-745L13.2,1.816074717,0.154806474,1746
brain,Alzheimer disease,24928,0.05%,Alzheimer disease,SLC26A3,2.639791588,0.466326373,4980
brain,Alzheimer disease,24928,0.07%,Alzheimer disease,RASGEF1B,3.142871244,0.6565851,7796
brain,Alzheimer disease,24928,0.01%,Alzheimer disease,RP11-701H24.9,1.880137261,0.179034165,1054
brain,Alzheimer disease,24928,0.00%,Alzheimer disease,LINGO3,1.831488141,0.160635647,59
brain,Alzheimer disease,24928,0.02%,Alzheimer disease,PDE4DIP,1.99862128,0.223843408,2642
brain,Alzheimer disease,24928,0.01%,Alzheimer disease,AC159540.1,1.96508087,0.211158825,1078
brain,Alzheimer disease,24928,0.01%,Alzheimer disease,RP11-289H16.1,2.226343306,0.309965162,1605
brain,Alzheimer disease,24928,0.01%,Alzheimer disease,RP11-219A15.1,1.911105686,0.190746054,1296
brain,Alzheimer disease,24928,0.02%,Alzheimer disease,LINC01609,2.638202846,0.46572553,2384
brain,Alzheimer disease,24928,0.00%,Alzheimer disease,PHYHIP,2.067073786,0.249731329,523
brain,Alzheimer disease,24928,0.01%,Alzheimer disease,RP11-745L13.2,1.992937527,0.22169388,735
brain,normal,58,0.00%,normal,SLC26A3,2.295077642,0.335959669,6
brain,normal,58,0.00%,normal,RASGEF1B,2.596988466,0.450138742,9
brain,normal,58,0.00%,normal,RP11-701H24.9,2.26225196,0.323545387,9
brain,normal,58,,normal,LINGO3,,,
brain,normal,58,,normal,PDE4DIP,,,
brain,normal,58,,normal,AC159540.1,,,
brain,normal,58,,normal,RP11-289H16.1,,,
brain,normal,58,,normal,RP11-219A15.1,,,
brain,normal,58,,normal,LINC01609,,,
brain,normal,58,0.00%,normal,PHYHIP,2.303860474,0.339281231,10
brain,normal,58,,normal,RP11-745L13.2,,,
brain,normal,204464,0.09%,normal,SLC26A3,2.191038986,0.29661349,9849
brain,normal,204464,0.18%,normal,RASGEF1B,2.264397491,0.324356802,20376
brain,normal,204464,0.02%,normal,RP11-701H24.9,2.158861802,0.284444462,1748
brain,normal,204464,0.01%,normal,LINGO3,1.82982295,0.160005892,1239
brain,normal,204464,0.11%,normal,PDE4DIP,1.925025789,0.196010471,12451
brain,normal,204464,0.02%,normal,AC159540.1,1.784687137,0.142936066,1694
brain,normal,204464,0.02%,normal,RP11-289H16.1,1.781382355,0.141686237,1911
brain,normal,204464,0.00%,normal,RP11-219A15.1,1.888802483,0.182311248,529
brain,normal,204464,0.00%,normal,LINC01609,2.066744072,0.249606636,430
brain,normal,204464,0.04%,normal,PHYHIP,1.960591858,0.209461134,4368
brain,normal,204464,0.02%,normal,RP11-745L13.2,1.816291287,0.154888378,1752
brain,normal,36499,0.01%,normal,SLC26A3,1.900554908,0.186755875,1229
brain,normal,36499,0.02%,normal,RASGEF1B,1.901661713,0.187174456,2321
brain,normal,36499,0.01%,normal,RP11-701H24.9,1.883316974,0.180236694,1176
brain,normal,36499,0.00%,normal,LINGO3,1.742996979,0.127169345,20
brain,normal,36499,0.01%,normal,PDE4DIP,1.747849793,0.129004622,607
brain,normal,36499,0.00%,normal,AC159540.1,1.702225541,0.111750074,132
brain,normal,36499,0.00%,normal,RP11-289H16.1,1.917646572,0.193219739,35
brain,normal,36499,0.00%,normal,RP11-219A15.1,1.826020339,0.15856779,29
brain,normal,36499,0.00%,normal,LINC01609,1.776108446,0.139691707,29
brain,normal,36499,0.01%,normal,PHYHIP,1.816176901,0.154845119,718
brain,normal,36499,0.00%,normal,RP11-745L13.2,1.791667744,0.145576048,118
brain,normal,699610,0.17%,normal,SLC26A3,2.102983493,0.263311952,19141
brain,normal,699610,1.12%,normal,RASGEF1B,2.265166832,0.324647757,123590
brain,normal,699610,0.05%,normal,RP11-701H24.9,1.839486003,0.163660344,5495
brain,normal,699610,0.04%,normal,LINGO3,1.721202894,0.118927082,4038
brain,normal,699610,0.51%,normal,PDE4DIP,1.935677692,0.200038893,56093
brain,normal,699610,0.06%,normal,AC159540.1,1.766831878,0.13618342,6322
brain,normal,699610,0.02%,normal,RP11-289H16.1,1.91730929,0.193092183,1827
brain,normal,699610,0.01%,normal,RP11-219A15.1,1.832159223,0.160889443,1427
brain,normal,699610,0.01%,normal,LINC01609,2.121416877,0.270283238,1224
brain,normal,699610,0.06%,normal,PHYHIP,1.793507711,0.146271902,6619
brain,normal,699610,0.04%,normal,RP11-745L13.2,1.822686336,0.15730691,4343
brain,normal,9990,0.01%,normal,SLC26A3,1.965269405,0.211230126,959
brain,normal,9990,0.01%,normal,RASGEF1B,2.019097533,0.231587283,1396
brain,normal,9990,0.01%,normal,RP11-701H24.9,1.86709475,0.174101643,1045
brain,normal,9990,0.00%,normal,LINGO3,1.777710438,0.140297562,3
brain,normal,9990,0.00%,normal,PDE4DIP,1.890109283,0.182805464,307
brain,normal,9990,0.00%,normal,AC159540.1,1.873190222,0.176406877,71
brain,normal,9990,0.00%,normal,RP11-289H16.1,1.944541931,0.203391243,33
brain,normal,9990,0.00%,normal,RP11-219A15.1,1.855607387,0.169757259,35
brain,normal,9990,0.00%,normal,LINC01609,2.06564935,0.249192625,12
brain,normal,9990,0.00%,normal,PHYHIP,1.850108048,0.167677474,464
brain,normal,9990,0.00%,normal,RP11-745L13.2,1.848376488,0.167022619,67
brain,normal,10802609,3.51%,normal,SLC26A3,2.117860816,0.268938378,388481
brain,normal,10802609,10.11%,normal,RASGEF1B,2.340970979,0.353315981,1117862
brain,normal,10802609,1.50%,normal,RP11-701H24.9,1.9795831,0.216643395,165918
brain,normal,10802609,0.49%,normal,LINGO3,1.917679973,0.193232371,54324
brain,normal,10802609,8.45%,normal,PDE4DIP,1.967119506,0.211929813,933517
brain,normal,10802609,1.40%,normal,AC159540.1,1.848218413,0.166962837,154683
brain,normal,10802609,0.64%,normal,RP11-289H16.1,1.896734216,0.185310935,70631
brain,normal,10802609,0.34%,normal,RP11-219A15.1,1.815856307,0.154723874,37376
brain,normal,10802609,0.20%,normal,LINC01609,2.176674464,0.291180999,22531
brain,normal,10802609,2.56%,normal,PHYHIP,1.790235511,0.145034395,283432
brain,normal,10802609,0.44%,normal,RP11-745L13.2,1.825771647,0.158473738,49059
brain,Alzheimer disease,250534,1.12%,Alzheimer disease,SLC26A3,2.395812982,0.374056573,123865
brain,Alzheimer disease,250534,1.65%,Alzheimer disease,RASGEF1B,2.910857747,0.568840362,182790
brain,Alzheimer disease,250534,0.85%,Alzheimer disease,RP11-701H24.9,1.923585762,0.195465869,93690
brain,Alzheimer disease,250534,0.00%,Alzheimer disease,LINGO3,1.851927621,0.168365615,392
brain,Alzheimer disease,250534,1.23%,Alzheimer disease,PDE4DIP,2.093052157,0.259556039,136492
brain,Alzheimer disease,250534,0.57%,Alzheimer disease,AC159540.1,1.916284068,0.192704456,63219
brain,Alzheimer disease,250534,0.44%,Alzheimer disease,RP11-289H16.1,1.895329897,0.184779838,48500
brain,Alzheimer disease,250534,0.38%,Alzheimer disease,RP11-219A15.1,1.842154316,0.164669468,41954
brain,Alzheimer disease,250534,0.41%,Alzheimer disease,LINC01609,2.35064576,0.356974868,45039
brain,Alzheimer disease,250534,0.55%,Alzheimer disease,PHYHIP,2.031385623,0.236234492,60427
brain,Alzheimer disease,250534,0.31%,Alzheimer disease,RP11-745L13.2,1.838651018,0.163344562,34817
brain,normal,126,,normal,SLC26A3,,,
brain,normal,126,0.00%,normal,RASGEF1B,2.279936314,0.330233399,3
brain,normal,126,,normal,RP11-701H24.9,,,
brain,normal,126,,normal,LINGO3,,,
brain,normal,126,0.00%,normal,PDE4DIP,2.411326322,0.379923533,11
brain,normal,126,,normal,AC159540.1,,,
brain,normal,126,,normal,RP11-289H16.1,,,
brain,normal,126,,normal,RP11-219A15.1,,,
brain,normal,126,,normal,LINC01609,,,
brain,normal,126,,normal,PHYHIP,,,
brain,normal,126,,normal,RP11-745L13.2,,,
brain,normal,1038380,0.25%,normal,SLC26A3,1.826023526,0.158568996,27319
brain,normal,1038380,0.35%,normal,RASGEF1B,2.214743714,0.305578335,38580
brain,normal,1038380,0.19%,normal,RP11-701H24.9,2.159910032,0.284840891,21275
brain,normal,1038380,0.04%,normal,LINGO3,1.892294681,0.183631956,4696
brain,normal,1038380,0.87%,normal,PDE4DIP,1.873582981,0.176555414,95921
brain,normal,1038380,0.24%,normal,AC159540.1,1.741928282,0.126765177,26718
brain,normal,1038380,0.04%,normal,RP11-289H16.1,1.789274492,0.144670949,4602
brain,normal,1038380,0.01%,normal,RP11-219A15.1,1.810889003,0.152845299,1181
brain,normal,1038380,0.02%,normal,LINC01609,2.413945445,0.380914054,2507
brain,normal,1038380,0.09%,normal,PHYHIP,1.772631772,0.138376871,9575
brain,normal,1038380,0.03%,normal,RP11-745L13.2,1.862373739,0.172316212,3274
brain,Alzheimer disease,9242,0.07%,Alzheimer disease,SLC26A3,2.704610842,0.490840242,7720
brain,Alzheimer disease,9242,0.08%,Alzheimer disease,RASGEF1B,3.827828176,0.915627644,9120
brain,Alzheimer disease,9242,0.03%,Alzheimer disease,RP11-701H24.9,1.972784091,0.214072091,3850
brain,Alzheimer disease,9242,0.00%,Alzheimer disease,LINGO3,1.834411258,0.161741136,21
brain,Alzheimer disease,9242,0.05%,Alzheimer disease,PDE4DIP,2.105417584,0.264232497,5306
brain,Alzheimer disease,9242,0.04%,Alzheimer disease,AC159540.1,2.059834553,0.246993538,3984
brain,Alzheimer disease,9242,0.03%,Alzheimer disease,RP11-289H16.1,1.964269211,0.210851865,2853
brain,Alzheimer disease,9242,0.01%,Alzheimer disease,RP11-219A15.1,1.913604598,0.191691112,1543
brain,Alzheimer disease,9242,0.06%,Alzheimer disease,LINC01609,2.291486616,0.334601586,6241
brain,Alzheimer disease,9242,0.01%,Alzheimer disease,PHYHIP,1.973932087,0.214506249,1417
brain,Alzheimer disease,9242,0.02%,Alzheimer disease,RP11-745L13.2,1.929902172,0.197854661,2734
brain,normal,827966,0.22%,normal,SLC26A3,1.685345944,0.105366411,24126
brain,normal,827966,0.07%,normal,RASGEF1B,1.762160179,0.134416639,7462
brain,normal,827966,0.18%,normal,RP11-701H24.9,2.165136058,0.286817311,19794
brain,normal,827966,0.01%,normal,LINGO3,1.63552579,0.086525023,880
brain,normal,827966,0.81%,normal,PDE4DIP,1.864259294,0.173029307,89640
brain,normal,827966,0.18%,normal,AC159540.1,1.678571643,0.102804452,19490
brain,normal,827966,0.00%,normal,RP11-289H16.1,1.528621546,0.046095113,60
brain,normal,827966,0.01%,normal,RP11-219A15.1,1.752303905,0.130689114,799
brain,normal,827966,0.00%,normal,LINC01609,1.575101904,0.06367343,148
brain,normal,827966,0.06%,normal,PHYHIP,1.634718922,0.086219875,6273
brain,normal,827966,0.00%,normal,RP11-745L13.2,1.565448836,0.060022755,357
brain,normal,23901,0.00%,normal,SLC26A3,1.659688619,0.095663117,467
brain,normal,23901,0.00%,normal,RASGEF1B,1.595388755,0.071345675,39
brain,normal,23901,0.01%,normal,RP11-701H24.9,2.19369263,0.297617066,926
brain,normal,23901,0.00%,normal,LINGO3,1.628926118,0.084029106,12
brain,normal,23901,0.03%,normal,PDE4DIP,1.684147974,0.104913353,3184
brain,normal,23901,0.00%,normal,AC159540.1,1.607294176,0.075848164,122
brain,normal,23901,,normal,RP11-289H16.1,,,
brain,normal,23901,,normal,RP11-219A15.1,,,
brain,normal,23901,0.00%,normal,LINC01609,1.566354036,0.060365091,2
brain,normal,23901,0.00%,normal,PHYHIP,1.571000661,0.062122389,151
brain,normal,23901,0.00%,normal,RP11-745L13.2,1.463859558,0.021602901,6
brain,normal,23411,0.00%,normal,SLC26A3,1.659404313,0.095555596,466
brain,normal,23411,0.00%,normal,RASGEF1B,1.595337376,0.071326244,33
brain,normal,23411,0.01%,normal,RP11-701H24.9,2.19369263,0.297617066,926
brain,normal,23411,0.00%,normal,LINGO3,1.637639826,0.087324526,11
brain,normal,23411,0.02%,normal,PDE4DIP,1.589389734,0.069076917,2736
brain,normal,23411,0.00%,normal,AC159540.1,1.607294176,0.075848164,122
brain,normal,23411,,normal,RP11-289H16.1,,,
brain,normal,23411,,normal,RP11-219A15.1,,,
brain,normal,23411,0.00%,normal,LINC01609,1.566354036,0.060365091,2
brain,normal,23411,0.00%,normal,PHYHIP,1.564214721,0.059556027,133
brain,normal,23411,0.00%,normal,RP11-745L13.2,1.463859558,0.021602901,6
brain,normal,826323,0.22%,normal,SLC26A3,1.685313685,0.105354212,24122
brain,normal,826323,0.07%,normal,RASGEF1B,1.755771323,0.13200045,7209
brain,normal,826323,0.18%,normal,RP11-701H24.9,2.165136058,0.286817311,19794
brain,normal,826323,0.01%,normal,LINGO3,1.629241409,0.084148345,857
brain,normal,826323,0.80%,normal,PDE4DIP,1.858601825,0.17088972,88333
brain,normal,826323,0.18%,normal,AC159540.1,1.678571643,0.102804452,19490
brain,normal,826323,0.00%,normal,RP11-289H16.1,1.528621546,0.046095113,60
brain,normal,826323,0.01%,normal,RP11-219A15.1,1.752303905,0.130689114,799
brain,normal,826323,0.00%,normal,LINC01609,1.575101904,0.06367343,148
brain,normal,826323,0.06%,normal,PHYHIP,1.6346884,0.086208332,6247
brain,normal,826323,0.00%,normal,RP11-745L13.2,1.565448836,0.060022755,357
brain,normal,211048,0.05%,normal,SLC26A3,1.715302096,0.116695471,4975
brain,normal,211048,0.00%,normal,RASGEF1B,1.609056655,0.076514712,241
brain,normal,211048,0.05%,normal,RP11-701H24.9,2.147271357,0.280061094,5486
brain,normal,211048,0.00%,normal,LINGO3,1.621340999,0.081160504,108
